"quality_grade","time_observed_at","taxon_geoprivacy","uuid","key","cached_votes_total","identifications_most_agree","species_guess","identifications_most_disagree","positional_accuracy","comments_count","site_id","created_time_zone","license_code","observed_time_zone","public_positional_accuracy","oauth_application_id","created_at","description","time_zone_offset","observed_on","observed_on_string","updated_at","captive","faves_count","num_identification_agreements","map_scale","uri","community_taxon_id","owners_identification_from_vision","identifications_count","obscured","num_identification_disagreements","geoprivacy","location","spam","mappable","identifications_some_agree","place_guess","id.1","license_code.1","file_url","attribution","hidden","out_of_range","context_user_geoprivacy","id_please","context_geoprivacy","context_taxon_geoprivacy","repository","latitude","longitude","species"
"research","2019-07-31T13:05:00-04:00",NA,"63e25460-a951-4bfd-911e-d88ac23f60c3",29947124,0,TRUE,"Common Garter Snake",FALSE,10,0,1,"America/New_York","cc-by-nc","America/New_York",10,3,"2019-07-31T19:17:56-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 13:05:00 GMT-0400 (EDT)","2019-08-07T00:26:10-04:00",FALSE,0,1,NA,"https://www.inaturalist.org/observations/29947124",28362,FALSE,1,FALSE,0,NA,"40.1770533333,-83.1410916667",FALSE,TRUE,TRUE,"6245 Cook Rd, Powell, OH, US",46765035,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46765035/original.jpg","(c) Patrick S., some rights reserved (CC BY-NC)",FALSE,NA,NA,NA,NA,NA,"INAT",40.1770533333,-83.1410916667,"Thamnophis sirtalis"
"research","2019-07-31T13:05:00-04:00",NA,"63e25460-a951-4bfd-911e-d88ac23f60c3",29947124,0,TRUE,"Common Garter Snake",FALSE,10,0,1,"America/New_York","cc-by-nc","America/New_York",10,3,"2019-07-31T19:17:56-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 13:05:00 GMT-0400 (EDT)","2019-08-07T00:26:10-04:00",FALSE,0,1,NA,"https://www.inaturalist.org/observations/29947124",28362,FALSE,1,FALSE,0,NA,"40.1770533333,-83.1410916667",FALSE,TRUE,TRUE,"6245 Cook Rd, Powell, OH, US",46765009,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46765009/original.jpg","(c) Patrick S., some rights reserved (CC BY-NC)",FALSE,NA,NA,NA,NA,NA,"INAT",40.1770533333,-83.1410916667,"Thamnophis sirtalis"
"research","2019-07-31T13:05:00-04:00",NA,"63e25460-a951-4bfd-911e-d88ac23f60c3",29947124,0,TRUE,"Common Garter Snake",FALSE,10,0,1,"America/New_York","cc-by-nc","America/New_York",10,3,"2019-07-31T19:17:56-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 13:05:00 GMT-0400 (EDT)","2019-08-07T00:26:10-04:00",FALSE,0,1,NA,"https://www.inaturalist.org/observations/29947124",28362,FALSE,1,FALSE,0,NA,"40.1770533333,-83.1410916667",FALSE,TRUE,TRUE,"6245 Cook Rd, Powell, OH, US",46764945,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46764945/original.jpg","(c) Patrick S., some rights reserved (CC BY-NC)",FALSE,NA,NA,NA,NA,NA,"INAT",40.1770533333,-83.1410916667,"Thamnophis sirtalis"
"research","2019-04-13T13:19:00-04:00",NA,"85514c95-74fd-440c-8a04-57156667759b",29950190,0,TRUE,"Eastern Garter Snake",FALSE,4,0,1,"America/New_York","cc-by-nc","America/New_York",27661,NA,"2019-07-31T20:17:31-04:00",NA,"-05:00","2019-04-13","2019/04/13 1:19 PM EDT","2019-07-31T21:39:09-04:00",FALSE,0,2,NA,"https://www.inaturalist.org/observations/29950190",28365,FALSE,2,TRUE,0,"obscured","42.3065062504,-71.0753999889",FALSE,TRUE,TRUE,"Massachusetts, US",46770216,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46770216/original.jpg","(c) Joseph K. Gordon, some rights reserved (CC BY-NC)",FALSE,NA,NA,NA,NA,NA,"INAT",42.3065062504,-71.0753999889,"Thamnophis sirtalis"
"research","2019-07-29T12:13:00-04:00",NA,"9358f0ba-f370-4645-a243-349b2aef5623",29950810,0,TRUE,"Eastern Garter Snake",FALSE,244,0,1,"America/New_York","cc-by-nc","America/New_York",244,NA,"2019-07-31T20:26:48-04:00","","-05:00","2019-07-29","2019/07/29 12:13 PM EDT","2019-07-31T22:51:38-04:00",FALSE,0,2,NA,"https://www.inaturalist.org/observations/29950810",28365,TRUE,2,FALSE,0,NA,"27.5261698641,-81.0233170976",FALSE,TRUE,TRUE,"Okeechobee County, FL, USA",46766319,"cc-by","https://inaturalist-open-data.s3.amazonaws.com/photos/46766319/original.jpg","(c) snail_hiker, some rights reserved (CC BY)",FALSE,NA,NA,NA,NA,NA,"INAT",27.5261698641,-81.0233170976,"Thamnophis sirtalis"
"research","2019-07-31T21:07:26-04:00",NA,"c65b0a84-55c1-493d-a521-5a979c2e1b3f",29953554,0,TRUE,"Eastern Garter Snake",FALSE,5,0,1,"America/New_York",NA,"America/New_York",5,3,"2019-07-31T21:18:07-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 21:07:26 GMT-0400 (EDT)","2019-08-01T10:49:35-04:00",FALSE,0,1,NA,"https://www.inaturalist.org/observations/29953554",28365,FALSE,1,FALSE,0,NA,"36.2425583333,-84.1194388333",FALSE,TRUE,TRUE,"Norris Dam State Park, Rocky Top, TN, US",46775544,NA,"https://static.inaturalist.org/photos/46775544/original.jpg","(c) midadventurers, all rights reserved",FALSE,NA,NA,NA,NA,NA,"INAT",36.2425583333,-84.1194388333,"Thamnophis sirtalis"
"research","2019-07-31T21:07:26-04:00",NA,"c65b0a84-55c1-493d-a521-5a979c2e1b3f",29953554,0,TRUE,"Eastern Garter Snake",FALSE,5,0,1,"America/New_York",NA,"America/New_York",5,3,"2019-07-31T21:18:07-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 21:07:26 GMT-0400 (EDT)","2019-08-01T10:49:35-04:00",FALSE,0,1,NA,"https://www.inaturalist.org/observations/29953554",28365,FALSE,1,FALSE,0,NA,"36.2425583333,-84.1194388333",FALSE,TRUE,TRUE,"Norris Dam State Park, Rocky Top, TN, US",46775525,NA,"https://static.inaturalist.org/photos/46775525/original.jpg","(c) midadventurers, all rights reserved",FALSE,NA,NA,NA,NA,NA,"INAT",36.2425583333,-84.1194388333,"Thamnophis sirtalis"
"research","2019-07-31T15:42:07-04:00","open","8407fe3e-b77e-4500-9fb1-b5d9d8225c20",29954856,0,TRUE,"Eastern Garter Snake",FALSE,5,0,5,"America/New_York","cc-by-nc","America/New_York",27348,3,"2019-07-31T21:48:08-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 15:42:07 GMT-0400 (EDT)","2019-08-03T07:30:04-04:00",FALSE,0,2,NA,"https://www.inaturalist.org/observations/29954856",28365,FALSE,2,TRUE,0,"obscured","44.2075979118,-78.9517117719",FALSE,TRUE,TRUE,"Durham, CA-ON, CA",46777586,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46777586/original.jpg","(c) sarahluvsbugs, some rights reserved (CC BY-NC)",FALSE,NA,NA,FALSE,NA,NA,"INAT",44.2075979118,-78.9517117719,"Thamnophis sirtalis"
"research","2019-07-31T15:42:07-04:00","open","8407fe3e-b77e-4500-9fb1-b5d9d8225c20",29954856,0,TRUE,"Eastern Garter Snake",FALSE,5,0,5,"America/New_York","cc-by-nc","America/New_York",27348,3,"2019-07-31T21:48:08-04:00",NA,"-05:00","2019-07-31","Wed Jul 31 2019 15:42:07 GMT-0400 (EDT)","2019-08-03T07:30:04-04:00",FALSE,0,2,NA,"https://www.inaturalist.org/observations/29954856",28365,FALSE,2,TRUE,0,"obscured","44.2075979118,-78.9517117719",FALSE,TRUE,TRUE,"Durham, CA-ON, CA",46777604,"cc-by-nc","https://inaturalist-open-data.s3.amazonaws.com/photos/46777604/original.jpg","(c) sarahluvsbugs, some rights reserved (CC BY-NC)",FALSE,NA,NA,FALSE,NA,NA,"INAT",44.2075979118,-78.9517117719,"Thamnophis sirtalis"
"research","2019-03-03T12:44:14-05:00",NA,"4271e568-3989-4c20-9ae3-5ad9def5469c",29955210,0,TRUE,"Eastern Garter Snake",FALSE,NA,0,1,"America/New_York",NA,"America/New_York",29278,2,"2019-07-31T21:54:41-04:00",NA,"-05:00","2019-03-03","2019-03-03 12:44:14 PM EST","2019-08-01T13:50:50-04:00",FALSE,0,3,NA,"https://www.inaturalist.org/observations/29955210",28365,FALSE,3,TRUE,0,"obscured","31.1566938532,-81.4830279198",FALSE,TRUE,TRUE,"Georgia, US",46778151,NA,"https://static.inaturalist.org/photos/46778151/original.jpeg","(c) Harrison Faulk, all rights reserved",FALSE,NA,NA,NA,NA,NA,"INAT",31.1566938532,-81.4830279198,"Thamnophis sirtalis"
